object,color,cand_idx,path,object_raw,color_raw,object_predicted,color_predicted,verdict,rejection_reason
dog,black,0,dog/black/cand_000.png,dog,black,dog,black,approved,
chair,white,0,chair/white/cand_000.png,chair,white,chair,white,approved,
dog,white,1,dog/white/cand_001.png,dog,white,dog,white,approved,
dog,brown,0,dog/brown/cand_000.png,dog,brown,dog,brown,approved,
dog,black,3,dog/black/cand_003.png,dog,black,dog,black,approved,
dog,white,4,dog/white/cand_004.png,dog,white,dog,white,approved,
dog,white,6,dog/white/cand_006.png,dog,white,dog,white,approved,
chair,white,3,chair/white/cand_003.png,chair,white,chair,white,approved,
dog,white,7,dog/white/cand_007.png,dog,white,dog,white,approved,
dog,brown,1,dog/brown/cand_001.png,dog,brown,dog,brown,approved,
dog,black,6,dog/black/cand_006.png,dog,black,dog,black,approved,
chair,brown,0,chair/brown/cand_000.png,chair,brown,chair,brown,approved,
dog,white,9,dog/white/cand_009.png,dog,white,dog,white,approved,
dog,black,8,dog/black/cand_008.png,dog,black,dog,black,approved,
chair,white,6,chair/white/cand_006.png,chair,white,chair,white,approved,
dog,black,9,dog/black/cand_009.png,dog,black,dog,black,approved,
frog,green,2,frog/green/cand_002.png,frog,green,frog,green,approved,
frog,green,3,frog/green/cand_003.png,frog,green,frog,green,approved,
dog,white,10,dog/white/cand_010.png,dog,white,dog,white,approved,
frog,green,5,frog/green/cand_005.png,frog,green,frog,green,approved,
frog,green,6,frog/green/cand_006.png,frog,green,frog,green,approved,
dog,black,10,dog/black/cand_010.png,puppy,black,dog,black,approved,
dog,white,11,dog/white/cand_011.png,dog,white,dog,white,approved,
dog,black,11,dog/black/cand_011.png,dog,black,dog,black,approved,
dog,brown,4,dog/brown/cand_004.png,dog,brown,dog,brown,approved,
shoe,black,0,shoe/black/cand_000.png,shoe,black,shoe,black,approved,
dog,black,13,dog/black/cand_013.png,dog,black,dog,black,approved,
dog,white,13,dog/white/cand_013.png,dog,white,dog,white,approved,
dog,white,15,dog/white/cand_015.png,dog,white,dog,white,approved,
dog,brown,5,dog/brown/cand_005.png,dog,brown,dog,brown,approved,
frog,green,7,frog/green/cand_007.png,frog,green,frog,green,approved,
frog,green,8,frog/green/cand_008.png,frog,green,frog,green,approved,
frog,green,9,frog/green/cand_009.png,frog,green,frog,green,approved,
dog,black,18,dog/black/cand_018.png,puppy,black,dog,black,approved,
chair,white,9,chair/white/cand_009.png,chair,white,chair,white,approved,
chair,white,10,chair/white/cand_010.png,chair,white,chair,white,approved,
shoe,black,1,shoe/black/cand_001.png,boot,black,shoe,black,approved,
shoe,brown,3,shoe/brown/cand_003.png,Shoe Polish,brown,shoe,brown,approved,
dog,brown,7,dog/brown/cand_007.png,dog,brown,dog,brown,approved,
chair,white,11,chair/white/cand_011.png,chair,white,chair,white,approved,
shoe,brown,4,shoe/brown/cand_004.png,shoes,brown,shoe,brown,approved,
frog,green,14,frog/green/cand_014.png,frog,green,frog,green,approved,
frog,green,15,frog/green/cand_015.png,Frog,green,frog,green,approved,
chair,white,13,chair/white/cand_013.png,chair,white,chair,white,approved,
chair,white,14,chair/white/cand_014.png,chair,white,chair,white,approved,
frog,green,19,frog/green/cand_019.png,frog,green,frog,green,approved,
shoe,black,2,shoe/black/cand_002.png,shoe,black,shoe,black,approved,
dog,brown,11,dog/brown/cand_011.png,dog,brown,dog,brown,approved,
shoe,black,3,shoe/black/cand_003.png,shoe,black,shoe,black,approved,
shoe,black,4,shoe/black/cand_004.png,shoes,black,shoe,black,approved,
chair,brown,4,chair/brown/cand_004.png,chair,brown,chair,brown,approved,
