object,color,cand_idx,path,object_raw,color_raw,object_predicted,color_predicted,verdict,rejection_reason
flower,purple,0,flower/purple/cand_000.png,flowers,purple,flower,purple,approved,
apple,red,0,apple/red/cand_000.png,apple,red,apple,red,approved,
flower,red,0,flower/red/cand_000.png,flower,red,flower,red,approved,
apple,green,0,apple/green/cand_000.png,apple,green,apple,green,approved,
apple,red,1,apple/red/cand_001.png,apple,red,apple,red,approved,
apple,red,2,apple/red/cand_002.png,apple,red,apple,red,approved,
flower,pink,0,flower/pink/cand_000.png,flower,pink,flower,pink,approved,
apple,red,3,apple/red/cand_003.png,apple,red,apple,red,approved,
flower,pink,1,flower/pink/cand_001.png,flower,pink,flower,pink,approved,
apple,green,1,apple/green/cand_001.png,apple,green,apple,green,approved,
apple,red,4,apple/red/cand_004.png,apple,red,apple,red,approved,
flower,purple,2,flower/purple/cand_002.png,flower,purple,flower,purple,approved,
flower,orange,0,flower/orange/cand_000.png,flower,orange,flower,orange,approved,
flower,red,3,flower/red/cand_003.png,flower,red,flower,red,approved,
flower,blue,3,flower/blue/cand_003.png,flower,blue,flower,blue,approved,
flower,white,4,flower/white/cand_004.png,flower,white,flower,white,approved,
polar bear,white,0,polar_bear/white/cand_000.png,bear,white,polar bear,white,approved,
flower,blue,5,flower/blue/cand_005.png,flower,blue,flower,blue,approved,
polar bear,white,1,polar_bear/white/cand_001.png,polar bear,white,polar bear,white,approved,
apple,green,3,apple/green/cand_003.png,apple,green,apple,green,approved,
car,blue,1,car/blue/cand_001.png,car,blue,car,blue,approved,
apple,red,5,apple/red/cand_005.png,apple,red,apple,red,approved,
flower,pink,6,flower/pink/cand_006.png,flower,pink,flower,pink,approved,
apple,green,4,apple/green/cand_004.png,apple,green,apple,green,approved,
flower,pink,8,flower/pink/cand_008.png,flower,pink,flower,pink,approved,
apple,red,7,apple/red/cand_007.png,apple,red,apple,red,approved,
apple,green,6,apple/green/cand_006.png,apple,green,apple,green,approved,
car,green,0,car/green/cand_000.png,car,green,car,green,approved,
apple,green,9,apple/green/cand_009.png,apple,green,apple,green,approved,
car,blue,2,car/blue/cand_002.png,car,blue,car,blue,approved,
banana,yellow,0,banana/yellow/cand_000.png,banana,yellow,banana,yellow,approved,
flower,purple,5,flower/purple/cand_005.png,flower arrangement,purple,flower,purple,approved,
apple,red,8,apple/red/cand_008.png,apple,red,apple,red,approved,
flower,blue,11,flower/blue/cand_011.png,flower,blue,flower,blue,approved,
apple,green,11,apple/green/cand_011.png,apple,green,apple,green,approved,
car,pink,0,car/pink/cand_000.png,car,pink,car,pink,approved,
flower,white,12,flower/white/cand_012.png,flowers,white,flower,white,approved,
apple,green,12,apple/green/cand_012.png,apple,green,apple,green,approved,
flower,blue,12,flower/blue/cand_012.png,flower,blue,flower,blue,approved,
bag,brown,2,bag/brown/cand_002.png,bag,brown,bag,brown,approved,
apple,green,14,apple/green/cand_014.png,apple,green,apple,green,approved,
flower,red,9,flower/red/cand_009.png,flower,red,flower,red,approved,
flower,pink,14,flower/pink/cand_014.png,flower,pink,flower,pink,approved,
flower,purple,8,flower/purple/cand_008.png,rose,purple,flower,purple,approved,
flower,white,14,flower/white/cand_014.png,flowers,white,flower,white,approved,
apple,red,10,apple/red/cand_010.png,apple,red,apple,red,approved,
car,blue,3,car/blue/cand_003.png,car,blue,car,blue,approved,
apple,red,12,apple/red/cand_012.png,apple,red,apple,red,approved,
banana,red,0,banana/red/cand_000.png,Banana,red,banana,red,approved,
apple,red,13,apple/red/cand_013.png,apple,red,apple,red,approved,
apple,red,14,apple/red/cand_014.png,apple,red,apple,red,approved,
car,blue,4,car/blue/cand_004.png,car,blue,car,blue,approved,
bag,brown,3,bag/brown/cand_003.png,bag,brown,bag,brown,approved,
flower,purple,14,flower/purple/cand_014.png,flower,purple,flower,purple,approved,
banana,yellow,1,banana/yellow/cand_001.png,banana,yellow,banana,yellow,approved,
car,pink,1,car/pink/cand_001.png,car,pink,car,pink,approved,
flower,orange,5,flower/orange/cand_005.png,flower,orange,flower,orange,approved,
flower,orange,6,flower/orange/cand_006.png,flower,orange,flower,orange,approved,
car,blue,6,car/blue/cand_006.png,car,blue,car,blue,approved,
car,blue,7,car/blue/cand_007.png,car,blue,car,blue,approved,
car,blue,8,car/blue/cand_008.png,car,blue,car,blue,approved,
ball,red,4,ball/red/cand_004.png,billiard ball,red,ball,red,approved,
bag,brown,5,bag/brown/cand_005.png,paper bag,brown,bag,brown,approved,
polar bear,white,2,polar_bear/white/cand_002.png,polar bear,white,polar bear,white,approved,
car,blue,11,car/blue/cand_011.png,car,blue,car,blue,approved,
bag,brown,6,bag/brown/cand_006.png,purse,brown,bag,brown,approved,
bag,brown,7,bag/brown/cand_007.png,purse,brown,bag,brown,approved,
polar bear,white,3,polar_bear/white/cand_003.png,polar bear,white,polar bear,white,approved,
flower,orange,8,flower/orange/cand_008.png,flowers,orange,flower,orange,approved,
flower,orange,9,flower/orange/cand_009.png,flower,orange,flower,orange,approved,
ball,red,8,ball/red/cand_008.png,ball,red,ball,red,approved,
