object,color,cand_idx,path,object_raw,color_raw,object_predicted,color_predicted,verdict,rejection_reason
flower,white,0,flower/white/cand_000.png,invitation,black,unmatched,black,rejected,both
flower,white,1,flower/white/cand_001.png,flower ball,pink,flower,pink,rejected,color
flower,purple,1,flower/purple/cand_001.png,ring,purple,unmatched,purple,rejected,object
flower,red,1,flower/red/cand_001.png,flowers,pink,flower,pink,rejected,color
flower,blue,0,flower/blue/cand_000.png,earrings,pink,unmatched,pink,rejected,both
flower,red,2,flower/red/cand_002.png,earrings,blue,unmatched,blue,rejected,both
bag,brown,0,bag/brown/cand_000.png,computer,brown,unmatched,brown,rejected,object
flower,blue,1,flower/blue/cand_001.png,earrings,blue,unmatched,blue,rejected,object
bag,brown,1,bag/brown/cand_001.png,purse,blue,bag,blue,rejected,color
ball,red,0,ball/red/cand_000.png,pinecone,red,unmatched,red,rejected,object
flower,blue,2,flower/blue/cand_002.png,necklace,gold,unmatched,yellow,rejected,both
flower,pink,2,flower/pink/cand_002.png,dress,white,unmatched,white,rejected,both
apple,green,2,apple/green/cand_002.png,stethoscope,green,unmatched,green,rejected,object
flower,purple,3,flower/purple/cand_003.png,phone case,purple,unmatched,purple,rejected,object
flower,white,2,flower/white/cand_002.png,dress,pink,unmatched,pink,rejected,both
flower,red,4,flower/red/cand_004.png,frame,red,unmatched,red,rejected,object
flower,white,3,flower/white/cand_003.png,basket,white,unmatched,white,rejected,object
flower,blue,4,flower/blue/cand_004.png,necklace,blue,unmatched,blue,rejected,object
car,blue,0,car/blue/cand_000.png,polishing pad,blue,unmatched,blue,rejected,object
flower,red,5,flower/red/cand_005.png,case,white,unmatched,white,rejected,both
flower,pink,3,flower/pink/cand_003.png,cherry blossoms,pink,unmatched,pink,rejected,object
flower,white,5,flower/white/cand_005.png,vase,black,unmatched,black,rejected,both
flower,pink,4,flower/pink/cand_004.png,cup,pink,unmatched,pink,rejected,object
flower,blue,6,flower/blue/cand_006.png,dress,red,unmatched,red,rejected,both
flower,pink,5,flower/pink/cand_005.png,collar,pink,unmatched,pink,rejected,object
flower,white,6,flower/white/cand_006.png,dress,blue,unmatched,blue,rejected,both
apple,green,5,apple/green/cand_005.png,blackboard,green,chalkboard,green,rejected,object
apple,red,6,apple/red/cand_006.png,books,red,unmatched,red,rejected,object
flower,blue,7,flower/blue/cand_007.png,pillow,blue,unmatched,blue,rejected,object
flower,orange,1,flower/orange/cand_001.png,butterfly,yellow,unmatched,yellow,rejected,both
flower,white,7,flower/white/cand_007.png,binder,white,unmatched,white,rejected,object
flower,pink,7,flower/pink/cand_007.png,earring,pink,unmatched,pink,rejected,object
flower,pink,9,flower/pink/cand_009.png,hairpin,white,unmatched,white,rejected,both
flower,white,8,flower/white/cand_008.png,card,white,unmatched,white,rejected,object
apple,green,7,apple/green/cand_007.png,sign,white,unmatched,white,rejected,both
flower,white,9,flower/white/cand_009.png,cup,white,unmatched,white,rejected,object
