object,color,seed,path,human_consensus_binding,vlm_binding,vlm_agrees_with_consensus
apple,black,0,apple/black/seed_0000.png,0,1,0
apple,black,20,apple/black/seed_0020.png,0,0,1
apple,black,3,apple/black/seed_0003.png,0,0,1
apple,blue,23,apple/blue/seed_0023.png,1,1,1
apple,blue,7,apple/blue/seed_0007.png,1,1,1
apple,blue,8,apple/blue/seed_0008.png,0,0,1
apple,brown,23,apple/brown/seed_0023.png,0,0,1
apple,brown,4,apple/brown/seed_0004.png,0,0,1
apple,brown,7,apple/brown/seed_0007.png,0,0,1
apple,green,21,apple/green/seed_0021.png,1,1,1
apple,green,23,apple/green/seed_0023.png,1,1,1
apple,green,3,apple/green/seed_0003.png,1,1,1
apple,orange,17,apple/orange/seed_0017.png,1,0,0
apple,orange,2,apple/orange/seed_0002.png,1,1,1
apple,orange,28,apple/orange/seed_0028.png,1,0,0
apple,pink,13,apple/pink/seed_0013.png,1,0,0
apple,pink,18,apple/pink/seed_0018.png,1,0,0
apple,purple,0,apple/purple/seed_0000.png,0,1,0
apple,purple,2,apple/purple/seed_0002.png,0,0,1
apple,red,16,apple/red/seed_0016.png,1,1,1
apple,red,19,apple/red/seed_0019.png,1,1,1
apple,red,7,apple/red/seed_0007.png,1,1,1
apple,white,0,apple/white/seed_0000.png,0,0,1
apple,white,17,apple/white/seed_0017.png,1,1,1
apple,yellow,17,apple/yellow/seed_0017.png,0,0,1
apple,yellow,20,apple/yellow/seed_0020.png,0,1,0
apple,yellow,22,apple/yellow/seed_0022.png,0,0,1
bag,black,13,bag/black/seed_0013.png,1,1,1
bag,black,14,bag/black/seed_0014.png,1,1,1
bag,black,7,bag/black/seed_0007.png,1,1,1
bag,blue,18,bag/blue/seed_0018.png,1,1,1
bag,blue,25,bag/blue/seed_0025.png,1,1,1
bag,blue,8,bag/blue/seed_0008.png,0,1,0
bag,brown,27,bag/brown/seed_0027.png,1,1,1
bag,green,25,bag/green/seed_0025.png,1,1,1
bag,green,5,bag/green/seed_0005.png,1,1,1
bag,orange,10,bag/orange/seed_0010.png,1,1,1
bag,orange,13,bag/orange/seed_0013.png,1,1,1
bag,orange,8,bag/orange/seed_0008.png,1,1,1
bag,pink,24,bag/pink/seed_0024.png,1,1,1
bag,pink,4,bag/pink/seed_0004.png,1,1,1
bag,pink,6,bag/pink/seed_0006.png,1,1,1
bag,purple,10,bag/purple/seed_0010.png,1,1,1
bag,purple,2,bag/purple/seed_0002.png,1,1,1
bag,purple,3,bag/purple/seed_0003.png,1,1,1
bag,red,11,bag/red/seed_0011.png,1,1,1
bag,red,12,bag/red/seed_0012.png,1,1,1
bag,red,3,bag/red/seed_0003.png,1,1,1
bag,white,11,bag/white/seed_0011.png,1,1,1
bag,white,19,bag/white/seed_0019.png,0,0,1
bag,white,27,bag/white/seed_0027.png,1,1,1
bag,yellow,1,bag/yellow/seed_0001.png,1,1,1
bag,yellow,25,bag/yellow/seed_0025.png,1,1,1
bag,yellow,8,bag/yellow/seed_0008.png,1,1,1
ball,black,14,ball/black/seed_0014.png,1,0,0
ball,black,17,ball/black/seed_0017.png,1,1,1
ball,black,23,ball/black/seed_0023.png,1,1,1
ball,blue,12,ball/blue/seed_0012.png,1,1,1
ball,blue,29,ball/blue/seed_0029.png,1,1,1
ball,blue,3,ball/blue/seed_0003.png,1,0,0
ball,brown,17,ball/brown/seed_0017.png,1,0,0
ball,brown,2,ball/brown/seed_0002.png,1,1,1
ball,brown,9,ball/brown/seed_0009.png,1,1,1
ball,green,19,ball/green/seed_0019.png,1,1,1
ball,green,20,ball/green/seed_0020.png,1,1,1
ball,green,26,ball/green/seed_0026.png,1,1,1
ball,orange,11,ball/orange/seed_0011.png,1,1,1
ball,orange,27,ball/orange/seed_0027.png,1,0,0
ball,orange,28,ball/orange/seed_0028.png,1,0,0
ball,pink,18,ball/pink/seed_0018.png,1,1,1
ball,pink,22,ball/pink/seed_0022.png,1,1,1
ball,pink,6,ball/pink/seed_0006.png,1,1,1
ball,purple,1,ball/purple/seed_0001.png,1,0,0
ball,purple,2,ball/purple/seed_0002.png,1,1,1
ball,purple,21,ball/purple/seed_0021.png,1,1,1
ball,red,24,ball/red/seed_0024.png,1,1,1
ball,red,7,ball/red/seed_0007.png,1,1,1
ball,red,9,ball/red/seed_0009.png,1,1,1
ball,white,2,ball/white/seed_0002.png,1,0,0
ball,white,27,ball/white/seed_0027.png,1,1,1
ball,white,7,ball/white/seed_0007.png,1,1,1
ball,yellow,12,ball/yellow/seed_0012.png,1,1,1
ball,yellow,27,ball/yellow/seed_0027.png,1,1,1
ball,yellow,3,ball/yellow/seed_0003.png,1,1,1
banana,black,14,banana/black/seed_0014.png,1,1,1
banana,black,8,banana/black/seed_0008.png,0,0,1
banana,blue,26,banana/blue/seed_0026.png,1,0,0
banana,brown,11,banana/brown/seed_0011.png,0,0,1
banana,brown,21,banana/brown/seed_0021.png,0,0,1
banana,brown,6,banana/brown/seed_0006.png,0,0,1
banana,green,22,banana/green/seed_0022.png,1,1,1
banana,green,29,banana/green/seed_0029.png,1,1,1
banana,green,8,banana/green/seed_0008.png,1,1,1
banana,orange,2,banana/orange/seed_0002.png,0,0,1
banana,orange,20,banana/orange/seed_0020.png,0,0,1
banana,orange,21,banana/orange/seed_0021.png,0,0,1
banana,pink,19,banana/pink/seed_0019.png,0,0,1
banana,pink,20,banana/pink/seed_0020.png,1,1,1
banana,purple,17,banana/purple/seed_0017.png,1,1,1
banana,purple,7,banana/purple/seed_0007.png,1,0,0
banana,red,5,banana/red/seed_0005.png,1,1,1
banana,white,20,banana/white/seed_0020.png,0,0,1
banana,white,29,banana/white/seed_0029.png,0,0,1
banana,white,8,banana/white/seed_0008.png,0,0,1
banana,yellow,17,banana/yellow/seed_0017.png,1,1,1
banana,yellow,22,banana/yellow/seed_0022.png,1,1,1
banana,yellow,7,banana/yellow/seed_0007.png,1,1,1
car,black,10,car/black/seed_0010.png,1,1,1
car,black,21,car/black/seed_0021.png,1,1,1
car,black,26,car/black/seed_0026.png,1,1,1
car,blue,1,car/blue/seed_0001.png,1,1,1
car,blue,24,car/blue/seed_0024.png,1,1,1
car,blue,7,car/blue/seed_0007.png,1,1,1
car,brown,1,car/brown/seed_0001.png,1,1,1
car,brown,25,car/brown/seed_0025.png,1,0,0
car,brown,26,car/brown/seed_0026.png,1,1,1
car,green,10,car/green/seed_0010.png,1,1,1
car,green,12,car/green/seed_0012.png,1,1,1
car,green,8,car/green/seed_0008.png,1,1,1
car,orange,2,car/orange/seed_0002.png,1,1,1
car,orange,29,car/orange/seed_0029.png,1,1,1
car,orange,6,car/orange/seed_0006.png,1,1,1
car,pink,18,car/pink/seed_0018.png,1,1,1
car,pink,22,car/pink/seed_0022.png,1,1,1
car,pink,28,car/pink/seed_0028.png,1,1,1
car,purple,10,car/purple/seed_0010.png,1,1,1
car,purple,20,car/purple/seed_0020.png,1,1,1
car,purple,6,car/purple/seed_0006.png,1,1,1
car,red,12,car/red/seed_0012.png,1,1,1
car,red,15,car/red/seed_0015.png,1,1,1
car,red,28,car/red/seed_0028.png,1,1,1
car,white,14,car/white/seed_0014.png,1,1,1
car,white,20,car/white/seed_0020.png,1,1,1
car,white,29,car/white/seed_0029.png,1,1,1
car,yellow,4,car/yellow/seed_0004.png,1,1,1
car,yellow,7,car/yellow/seed_0007.png,1,1,1
car,yellow,8,car/yellow/seed_0008.png,1,1,1
chair,black,17,chair/black/seed_0017.png,1,1,1
chair,black,23,chair/black/seed_0023.png,1,1,1
chair,black,8,chair/black/seed_0008.png,1,1,1
chair,blue,13,chair/blue/seed_0013.png,1,1,1
chair,blue,18,chair/blue/seed_0018.png,1,1,1
chair,blue,23,chair/blue/seed_0023.png,1,1,1
chair,brown,12,chair/brown/seed_0012.png,1,1,1
chair,brown,18,chair/brown/seed_0018.png,1,1,1
chair,brown,28,chair/brown/seed_0028.png,1,1,1
chair,green,11,chair/green/seed_0011.png,1,0,0
chair,green,4,chair/green/seed_0004.png,1,1,1
chair,green,7,chair/green/seed_0007.png,1,1,1
chair,orange,15,chair/orange/seed_0015.png,1,1,1
chair,orange,16,chair/orange/seed_0016.png,1,1,1
chair,orange,2,chair/orange/seed_0002.png,1,1,1
chair,pink,1,chair/pink/seed_0001.png,1,1,1
chair,pink,24,chair/pink/seed_0024.png,1,1,1
chair,pink,27,chair/pink/seed_0027.png,1,1,1
chair,purple,20,chair/purple/seed_0020.png,1,1,1
chair,purple,3,chair/purple/seed_0003.png,1,1,1
chair,purple,4,chair/purple/seed_0004.png,1,1,1
chair,red,21,chair/red/seed_0021.png,1,1,1
chair,red,25,chair/red/seed_0025.png,1,1,1
chair,red,5,chair/red/seed_0005.png,1,1,1
chair,white,13,chair/white/seed_0013.png,1,1,1
chair,white,19,chair/white/seed_0019.png,1,1,1
chair,white,2,chair/white/seed_0002.png,1,1,1
chair,yellow,12,chair/yellow/seed_0012.png,1,1,1
chair,yellow,14,chair/yellow/seed_0014.png,1,1,1
chair,yellow,19,chair/yellow/seed_0019.png,1,1,1
chalkboard,black,16,chalkboard/black/seed_0016.png,1,1,1
chalkboard,black,17,chalkboard/black/seed_0017.png,1,1,1
chalkboard,black,8,chalkboard/black/seed_0008.png,1,1,1
